transaction_id,user_id,card_type,amount_usd,rate_ngn,timestamp,is_fraud
1,39,Amazon,322.34,531.38,2025-01-01 00:00:00,0
2,29,Steam,,518.47,2025-01-01 01:00:00,0
3,15,Amazon,488.17,466.26,2025-01-01 02:00:00,1
4,43,Amazon,262.99,541.09,2025-01-01 03:00:00,0
5,8,iTunes,168.25,532.25,2025-01-01 04:00:00,0
6,21,Steam,399.64,544.98,2025-01-01 05:00:00,0
7,39,Steam,142.71,522.57,2025-01-01 06:00:00,0
8,19,iTunes,225.1,511.34,2025-01-01 07:00:00,0
9,23,Google,48.44,491.82,2025-01-01 08:00:00,0
10,11,Amazon,22.42,543.27,2025-01-01 09:00:00,0
11,11,Netflix,,536.61,2025-01-01 10:00:00,0
12,24,Amazon,419.63,454.52,2025-01-01 11:00:00,0
13,36,Amazon,351.03,452.64,2025-01-01 12:00:00,0
14,40,Google,210.39,487.65,2025-01-01 13:00:00,0
15,24,Amazon,94.91,531.06,2025-01-01 14:00:00,1
16,3,iTunes,86.65,548.73,2025-01-01 15:00:00,0
17,22,iTunes,132.62,465.04,2025-01-01 16:00:00,0
18,2,Steam,279.12,509.41,2025-01-01 17:00:00,0
19,24,Netflix,360.15,488.09,2025-01-01 18:00:00,0
20,44,Amazon,333.5,,2025-01-01 19:00:00,0
21,30,Amazon,147.17,534.21,2025-01-01 20:00:00,0
22,38,Google,477.88,533.83,2025-01-01 21:00:00,0
23,2,iTunes,371.57,496.87,2025-01-01 22:00:00,0
24,21,Netflix,281.63,491.48,2025-01-01 23:00:00,0
25,33,Steam,309.74,477.34,2025-01-02 00:00:00,0
26,12,iTunes,215.6,455.64,2025-01-02 01:00:00,0
27,22,Steam,131.39,536.47,2025-01-02 02:00:00,0
28,44,Google,184.43,531.29,2025-01-02 03:00:00,0
29,25,Google,,549.97,2025-01-02 04:00:00,0
30,49,Amazon,17.05,549.66,2025-01-02 05:00:00,0
31,27,Netflix,66.88,505.54,2025-01-02 06:00:00,0
32,42,Steam,32.54,526.9,2025-01-02 07:00:00,0
33,28,iTunes,29.96,544.48,2025-01-02 08:00:00,0
34,16,Google,429.18,534.96,2025-01-02 09:00:00,0
35,15,Amazon,354.79,474.73,2025-01-02 10:00:00,0
36,47,Amazon,,495.05,2025-01-02 11:00:00,0
37,44,Steam,57.94,462.92,2025-01-02 12:00:00,0
38,3,Google,250.89,545.41,2025-01-02 13:00:00,0
39,37,Netflix,242.0,510.62,2025-01-02 14:00:00,0
40,7,Google,94.87,472.86,2025-01-02 15:00:00,0
